0,40,0
0,39,1
0,24,2
0,9,3
0,9,4
1,47,0
1,24,1
1,9,2
1,9,3
1,42,4
2,9,0
2,9,1
2,42,2
2,47,3
2,24,4
3,40,0
3,39,1
3,24,2
3,9,3
3,9,4
4,40,0
4,39,1
4,24,2
4,9,3
4,9,4
5,40,0
5,39,1
5,24,2
5,9,3
5,9,4
6,214,0
6,47,1
6,24,2
6,9,3
6,9,4
6,42,5
7,6,0
7,6,1
7,188,2
7,185,3
7,6,4
8,1695,0
8,2166,1
8,3112,2
8,8853,3
8,3556,4
9,40,0
9,39,1
9,24,2
9,9,3
9,9,4
10,47,0
10,24,1
10,9,2
10,9,3
10,42,4
11,40,0
11,39,1
11,24,2
11,9,3
11,9,4
12,47,0
12,24,1
12,9,2
12,9,3
12,42,4
13,40,0
13,39,1
13,24,2
13,9,3
13,9,4
14,40,0
14,39,1
14,24,2
14,9,3
14,9,4
15,281,0
15,319,1
15,1148,2
15,542,3
15,204,4
16,47,0
16,24,1
16,9,2
16,9,3
16,42,4
17,47,0
17,24,1
17,9,2
17,9,3
17,42,4
17,1744,5
18,47,0
18,24,1
18,9,2
18,9,3
18,42,4
19,40,0
19,39,1
19,24,2
19,9,3
19,9,4
20,47,0
20,24,1
20,9,2
20,9,3
20,42,4
20,7843,5
21,92,0
21,7010,1
21,966,2
21,536,3
21,545,4
22,47,0
22,24,1
22,9,2
22,9,3
22,42,4
22,6825,5
23,1059,0
23,737,1
23,138,2
23,685,3
23,377,4
24,47,0
24,24,1
24,9,2
24,9,3
24,42,4
24,8356,5
25,47,0
25,24,1
25,9,2
25,9,3
25,42,4
26,40,0
26,39,1
26,24,2
26,9,3
26,9,4
27,1936,0
27,657,1
27,1591,2
27,7476,3
27,190,4
27,6,5
28,180,0
28,1452,1
28,180,2
28,110,3
28,143,4
29,47,0
29,24,1
29,9,2
29,9,3
29,42,4
30,47,0
30,24,1
30,9,2
30,9,3
30,42,4
31,6,0
31,6,1
31,20,2
31,20,3
31,53,4
32,40,0
32,39,1
32,9,2
32,9,3
32,9,4
32,9,5
33,40,0
33,39,1
33,24,2
33,9,3
33,9,4
34,47,0
34,24,1
34,9,2
34,9,3
34,42,4
35,47,0
35,24,1
35,9,2
35,9,3
35,42,4
36,520,0
36,1244,1
36,1714,2
36,1908,3
36,7170,4
37,47,0
37,24,1
37,9,2
37,9,3
37,42,4
37,7458,5
38,102,0
38,4774,1
38,4089,2
38,850,3
38,827,4
38,2445,5
39,471,0
39,156,1
39,220,2
39,3834,3
39,5379,4
40,47,0
40,24,1
40,9,2
40,9,3
40,42,4
41,47,0
41,24,1
41,9,2
41,9,3
41,42,4
42,761,0
42,3107,1
42,270,2
42,114,3
42,298,4
42,842,5
43,47,0
43,24,1
43,9,2
43,9,3
43,42,4
43,3789,5
44,47,0
44,24,1
44,9,2
44,9,3
44,42,4
45,351,0
45,6439,1
45,346,2
45,346,3
45,446,4
46,24,0
46,9,1
46,9,2
46,40,3
46,39,4
47,731,0
47,966,1
47,1708,2
47,1326,3
47,476,4
48,1498,0
48,2662,1
48,23,2
48,23,3
48,1160,4
48,188,5
48,185,6
48,6,7
49,47,0
49,24,1
49,9,2
49,9,3
49,66,4
49,435,5
50,47,0
50,24,1
50,9,2
50,9,3
50,42,4
51,73,0
51,387,1
51,1586,2
51,56,3
51,343,4
52,47,0
52,24,1
52,9,2
52,9,3
52,42,4
52,3789,5
53,40,0
53,39,1
53,24,2
53,9,3
53,9,4
54,51,0
54,2248,1
54,6,2
54,3846,3
54,6,4
55,40,0
55,39,1
55,24,2
55,9,3
55,9,4
56,348,0
56,264,1
56,161,2
56,14,3
56,110,4
56,143,5
57,47,0
57,24,1
57,9,2
57,9,3
57,42,4
58,47,0
58,24,1
58,9,2
58,9,3
58,42,4
59,47,0
59,24,1
59,9,2
59,9,3
59,42,4
59,6825,5
60,47,0
60,24,1
60,9,2
60,9,3
60,42,4
61,47,0
61,24,1
61,9,2
61,9,3
61,42,4
62,47,0
62,24,1
62,9,2
62,9,3
62,42,4
63,40,0
63,39,1
63,24,2
63,9,3
63,9,4
64,40,0
64,39,1
64,24,2
64,9,3
64,9,4
65,47,0
65,24,1
65,9,2
65,9,3
65,42,4
66,40,0
66,39,1
66,24,2
66,9,3
66,9,4
67,40,0
67,39,1
67,24,2
67,9,3
67,9,4
68,47,0
68,24,1
68,9,2
68,9,3
68,42,4
69,244,0
69,657,1
69,433,2
69,4181,3
69,1402,4
69,3916,5
69,4939,6
69,508,7
69,3913,8
70,47,0
70,24,1
70,9,2
70,9,3
70,42,4
71,47,0
71,24,1
71,9,2
71,9,3
71,42,4
72,47,0
72,24,1
72,9,2
72,9,3
72,42,4
73,47,0
73,24,1
73,9,2
73,9,3
73,42,4
74,47,0
74,24,1
74,9,2
74,9,3
74,42,4
75,40,0
75,39,1
75,24,2
75,9,3
75,9,4
76,40,0
76,39,1
76,24,2
76,9,3
76,9,4
77,47,0
77,24,1
77,9,2
77,9,3
77,42,4
78,4575,0
78,47,1
78,24,2
78,9,3
78,9,4
