30,0
394,1
651,2
1572,2
1067,2
234,3
689,2
2291,1
1991,3
260,3
195,2
1643,2
2020,0
1672,4
1708,3
413,4
293,4
1652,5
818,2
1644,3
94,3
851,6
1845,5
478,4
220,4
2010,4
2378,4
1526,7
789,1
2225,4
1750,4
67,4
40,8
2263,4
241,4
2857,2
93,2
2823,4
1237,4
1321,3
1603,4
1016,3
566,2
1600,4
147,6
837,0
2897,4
39,6
739,2
2643,8
2576,4
2025,4
617,4
904,1
2305,4
571,4
1932,2
2187,2
1732,2
2035,9
2390,2
1000,2
247,3
2048,3
2072,2
1309,4
1876,4
3193,2
1533,9
2760,10
2507,4
1912,4
2482,4
1597,6
2108,4
2774,4
2994,2
1455,4
1264,1
2216,8
1463,2
1293,3
2115,4
2107,2
1510,4
459,3
3175,2
2592,4
2509,10
1828,4
1206,2
2391,2
2784,5
412,2
822,4
3196,2
1198,1
15,3
120,4
527,3
2460,4
3221,4
2641,10
2192,6
2287,2
3170,2
2716,4
1456,2
1906,4
3143,4
1001,2
2022,1
3189,10
3161,2
3108,4
2092,5
1795,2
3166,10
1759,4
415,2
737,2
890,3
3063,1
1515,4
2960,4
2561,6
118,4
555,4
2280,11
331,3
1585,4
2125,4
2309,2
1490,2
1189,1
1901,4
534,3
347,4
632,10
574,3
848,6
297,3
2373,2
889,3
1914,1
994,3
2077,2
690,3
539,3
2180,2
1329,4
1401,2
1761,11
3044,2
2538,4
704,2
2071,3
2518,4
2846,5
2902,4
528,9
1376,2
1965,2
1469,11
3131,2
2013,5
2223,4
1347,4
1363,4
1610,2
559,11
3100,4
498,3
1893,4
3198,5
2776,4
2819,4
1407,2
1410,3
2141,2
2168,10
1337,4
448,3
2480,4
2650,12
2757,4
3146,2
1857,4
2863,4
1637,4
909,2
2331,4
1449,2
2990,4
2882,11
974,4
83,2
825,2
1202,4
1823,3
3174,2
1944,4
932,4
439,2
936,2
1268,4
1697,2
242,2
980,2
1196,2
2787,1
1587,0
2577,5
2842,8
2185,4
3244,2
3251,0
3227,6
383,10
653,4
1765,2
1184,4
2831,8
3064,3
873,2
364,4
2688,4
2318,2
1342,2
1909,13
1724,1
1990,6
2,3
1100,4
1561,8
2869,4
337,4
390,4
1752,2
2447,4
2429,4
2195,4
2347,4
833,4
1235,4
2941,2
2184,2
1295,2
1574,4
2655,2
2564,4
1374,4
1277,4
1355,4
3069,6
2993,2
396,3
1647,2
1589,6
2532,5
367,3
246,6
2627,2
2848,2
28,6
2876,4
2961,2
1730,4
391,4
2612,4
2132,4
764,3
2748,2
1836,2
966,4
1236,4
1414,4
2533,4
1923,2
2443,0
1057,4
1673,3
160,3
455,8
24,4
1136,5
2793,14
2369,4
1387,2
2769,2
2524,2
2372,4
900,3
1728,11
213,3
1684,2
3004,4
1633,11
779,2
1910,4
2652,13
3045,4
403,4
1326,9
424,2
2144,1
2807,4
595,2
2635,8
340,2
675,2
1878,4
2571,4
694,2
184,3
598,4
1195,2
1887,2
366,3
2303,4
1159,8
26,2
122,2
1745,4
3057,2
1837,3
1154,4
1252,1
2365,10
156,0
2253,4
1214,11
135,2
313,3
2410,4
777,2
1373,2
745,2
1194,5
1506,8
3087,4
931,3
55,3
1753,2
731,3
84,3
1377,4
1139,4
1146,12
2658,3
3250,4
2835,4
1994,3
2041,4
3043,4
2393,3
2660,6
2918,1
1964,3
3077,3
3205,11
1408,3
1462,11
2246,4
2528,4
680,2
3176,2
1068,4
1227,2
2103,2
1530,2
2106,12
1389,2
2839,4
1657,2
922,3
2057,1
2419,5
1324,3
2221,4
1966,4
1151,11
1602,13
1180,4
1489,2
2944,4
871,6
810,2
2543,2
410,3
579,2
1746,4
2336,2
1676,3
229,2
453,2
456,3
2815,10
2181,2
2011,2
1201,4
2806,2
1298,4
2252,2
1296,2
1959,4
2698,4
2298,2
299,4
1101,1
2068,4
33,3
2129,4
1729,3
2693,2
2131,4
2874,3
2550,6
1352,3
1963,3
523,3
2444,2
930,2
2273,4
2696,2
501,2
2585,2
1680,2
223,3
1013,4
2732,2
